message_id,channel_name,image_path,detected_objects,image_category,object_count
26379,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26379.jpg,"bottle:0.64, bottle:0.63, bottle:0.40, bottle:0.36, bottle:0.35, bottle:0.34, bottle:0.34, bottle:0.31, bottle:0.27, bottle:0.27, bottle:0.26",product_display,11
26380,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26380.jpg,none,other,0
26381,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26381.jpg,bottle:0.33,product_display,1
26382,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26382.jpg,"orange:0.32, teddy bear:0.27",other,2
26383,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26383.jpg,none,other,0
26384,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26384.jpg,none,other,0
26385,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26385.jpg,"sports ball:0.37, sports ball:0.30",other,2
26386,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26386.jpg,none,other,0
26387,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26387.jpg,none,other,0
26388,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26388.jpg,"bottle:0.67, vase:0.61",product_display,2
26389,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26389.jpg,none,other,0
26390,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26390.jpg,none,other,0
26391,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26391.jpg,none,other,0
26392,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26392.jpg,none,other,0
26393,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26393.jpg,bottle:0.68,product_display,1
26394,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26394.jpg,"bottle:0.87, dining table:0.35, bottle:0.33, bottle:0.29",product_display,4
26395,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26395.jpg,none,other,0
26396,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26396.jpg,"bottle:0.51, bottle:0.51, dining table:0.46, bottle:0.42, bottle:0.42, cup:0.37, bottle:0.34, bottle:0.33, bottle:0.32, bottle:0.31, bottle:0.30, bottle:0.29",product_display,12
26397,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26397.jpg,person:0.31,lifestyle,1
26398,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26398.jpg,"bottle:0.64, bottle:0.63, bottle:0.40, bottle:0.36, bottle:0.35, bottle:0.34, bottle:0.34, bottle:0.31, bottle:0.27, bottle:0.27, bottle:0.26",product_display,11
26399,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26399.jpg,none,other,0
26400,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26400.jpg,bottle:0.33,product_display,1
26401,lobelia4cosmetics,data\raw\images\lobelia4cosmetics\26401.jpg,"orange:0.32, teddy bear:0.27",other,2
